title,company,skills,description,other_requirements,job_type,url
Data Analytics Trainee - Fresher,HEXA SOLUTIONS,Data Analysis | Data Analytics | Data Cleaning | Data Interpretation | Data Manipulation | Data Science | English Proficiency (Spoken) | English Proficiency (Written) | MS-Excel | MS-Office | Power BI | Python | SQL | Tableau,"As a Data Analytics Trainee, you will have the opportunity to work with a dynamic team of professionals and gain hands-on experience in the exciting field of data analytics. With your expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, Tableau, Data Analysis, Data Cleaning, Data Manipulation, Data Interpretation, English Proficiency (Spoken), English Proficiency (Written), and MS-Office, you will play a crucial role in analyzing and interpreting data to drive business decisions. Key Responsibilities: 1. Collaborate with team members to gather, clean, and manipulate data from various sources 2. Perform in-depth data analysis to identify trends, patterns, and insights 3. Create visualizations and dashboards using tools like Power BI and Tableau 4. Communicate findings and recommendations to stakeholders in a clear and concise manner 5. Assist in developing predictive models and algorithms to optimize business processes 6. Continuously improve data quality and accuracy through regular data validation and cleaning 7. Stay updated on the latest trends and technologies in data analytics to ensure best practices are implemented. If you are a passionate and driven individual looking to kickstart your career in data analytics, then HEXA SOLUTIONS is the perfect place for you to grow and excel. Apply now and embark on an exciting journey with us!",,python-jobs,https://internshala.com/job/detail/fresher-remote-data-analytics-trainee-job-at-hexa-solutions1771943574
Software Developer - Fresher,START-UP SAHAY PRIVATE LIMITED,.NET | C++ Programming | CSS | HTML | Java | JavaScript | MySQL | Node.js | Python | React,"Are you a dynamic and skilled Software Developer with expertise in Java, .NET, MySQL, HTML, CSS, JavaScript, Python, Node.js, C++ Programming, and React? Sahay Private Limited, a fast-growing start-up, is seeking a talented individual like you to join our team! Key Responsibilities: 1. Develop and maintain high-quality software solutions using a variety of programming languages and technologies. 2. Collaborate with cross-functional teams to design, develop, and implement innovative software solutions. 3. Troubleshoot and resolve software issues in a timely manner to ensure optimal performance. 4. Stay up-to-date on the latest industry trends and technologies to continuously improve software development processes. 5. Participate in code reviews and provide constructive feedback to enhance code quality and efficiency. 6. Work on multiple projects simultaneously and prioritize tasks to meet deadlines effectively. 7. Demonstrate a strong commitment to teamwork, communication, and problem-solving skills to drive success in a fast-paced start-up environment. If you are passionate about software development and ready to make a significant impact, apply now to join our dynamic team at Sahay Private Limited!",,python-jobs,https://internshala.com/job/detail/fresher-software-developer-job-in-bangalore-at-start-up-sahay-private-limited1771862851
Data Analytics Specialist - Fresher,START-UP SAHAY PRIVATE LIMITED,Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau,"As a Data Analytics Specialist at START-UP SAHAY PRIVATE LIMITED, you will have the exciting opportunity to leverage your expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, and Tableau to drive data-driven decision-making for our rapidly growing start-up. Key responsibilities include: 1. Developing and maintaining data pipelines to ensure data accuracy and consistency. 2. Analyzing complex datasets to extract valuable insights and trends. 3. Building interactive dashboards in Power BI and Tableau for visualization of key metrics. 4. Collaborating with cross-functional teams to identify business opportunities and challenges. 5. Conducting A/B testing and statistical analysis to optimize business strategies. 6. Providing data-driven recommendations to improve operational efficiency and customer experience. 7. Staying updated on latest industry trends and best practices in data analytics. If you are a data-driven professional with a passion for making a real impact in a dynamic start-up environment, we invite you to join our team and help us drive innovation and growth through the power of data analytics.",,python-jobs,https://internshala.com/job/detail/fresher-data-analytics-specialist-job-in-bangalore-at-start-up-sahay-private-limited1772725348
Junior Machine Learning Associate,TestAIng Solutions,Deep Learning | LLM evaluation | LLMOps | Machine Learning | Natural Language Processing (NLP) | Python | Transformers,"Are you a tech-savvy individual with a passion for machine learning and AI? Do you have experience with Python, Machine Learning, Deep Learning, LLM Ops, LLM evaluation, Transformers, and Natural Language Processing (NLP)? If so, we have an exciting opportunity for you as a Junior Machine Learning Associate at TestAIng Solutions! As a key member of our team, you will have the opportunity to work on cutting-edge projects in the field of AI and machine learning. Your responsibilities will include: 1. Developing and implementing machine learning algorithms using Python. 2. Conducting research and experiments in the areas of Deep Learning, LLM Ops, LLM evaluation, Transformers, and NLP. 3. Collaborating with cross-functional teams to improve existing machine learning models. 4. Assisting in the deployment and maintenance of machine learning models in production environments. 5. Analyzing data and providing insights to optimize model performance. 6. Staying up-to-date on the latest advancements in machine learning and AI technologies. 7. Contributing to the overall success of TestAIng Solutions by delivering high-quality results on time. If you are a motivated individual with a strong background in machine learning and a desire to make a difference in the world of AI, we want to hear from you. Join us at TestAIng Solutions and be a part of our innovative team shaping the future of technology!",,python-jobs,https://internshala.com/job/detail/junior-machine-learning-associate-job-in-bangalore-at-testaing-solutions1772434069
Applied AI Engineer – Computer Vision,Stealth Mode (Startup),OpenCV | Python | PyTorch | Yolo,Key responsibilities: 1. Build worker detection + multi-object tracking 2. Develop activity recognition models 3. Design step classification + skip detection logic 4. Convert video     structured events     performance metrics 5. Deploy models in real factory environments,1. Strong Python + PyTorch 2. YOLO/detection models 3. Multi-object tracking experience 4. Real-world ML deployment experience 5. Basic backend (FastAPI/Flask + SQL) 6. Experience working with messy real-world video,python-jobs,https://internshala.com/job/detail/remote-applied-ai-engineer--computer-vision-job-at-stealth-mode-startup1772711415
Internet of Things (IoT) Supervisor,Campus Sutras Pvt. Ltd.,Arduino | Embedded Systems | Internet of Things (IoT) | Python | Raspberry Pi,"Are you a tech-savvy individual with a passion for Internet of Things (IoT) and a strong knowledge of Raspberry Pi, Arduino, Python, and Embedded Systems? Look no further! Campus Sutras Pvt. Ltd. is seeking a dynamic IoT Supervisor to join our innovative team. Key responsibilities: 1. Design and implement IoT solutions using Raspberry Pi and Arduino platforms. 2. Develop and maintain IoT applications using Python programming language. 3. Collaborate with cross-functional teams to integrate IoT devices into existing systems. 4. Provide technical guidance and training to junior team members on IoT technologies. 5. Conduct research on emerging IoT trends and technologies to enhance company's offerings. 6. Ensure the security and scalability of IoT solutions deployed on campus premises. 7. Monitor and analyze data generated by IoT devices to optimize performance and user experience. If you are ready to take on a challenging role that allows you to showcase your IoT skills and drive innovation, apply now to become a valuable member of our dynamic team at Campus Sutras Pvt. Ltd.",1. Understand IOT,python-jobs,https://internshala.com/job/detail/internet-of-things-iot-supervisor-job-in-noida-at-campus-sutras-pvt-ltd1772710856
Associate Data Scientist - Fresher,SoftSensor.ai,APIs | Artificial intelligence | Data Analytics | Data Science | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Python | SQL,"Key responsibilities: 1. Utilize data analysis tools and software to extract meaningful insights from raw data. 2. Collaborate with data engineers to design and implement databases, data collection systems, and analytical frameworks for optimized statistical efficiency and quality. 3. Identify, analyze, and interpret complex data trends and patterns. 4. Develop and implement data collection strategies to improve data quality and statistical efficiency. 5. Clean and refine data by reviewing system reports, printouts, and performance indicators to identify and correct inconsistencies. 6. Create and present insightful reports to various business stakeholders. 7. Apply predictive modeling techniques to enhance customer experience, revenue growth, and other business objectives. 8. Work closely with management to prioritize business and data-driven information needs.","1. Bachelor's degree in Statistics, Computer Science, Information Systems, or a related field. 2. Proven experience as a Data Scientist, Data Analyst, or Business Data Analyst. 3. Expertise in data modeling, database design, data mining, and segmentation techniques. 4. Strong knowledge of and experience with reporting tools (e.g., Business Objects), databases (SQL, etc.), programming languages (XML, JavaScript, ETL frameworks), and data visualization tools (Power BI, Tableau). 5. Proficiency in statistical analysis tools (Excel, SPSS, SAS) for dataset analysis. 6. Experience working with cloud platforms such as Azure and AWS. 7. Strong Python programming skills, including experience with data analytics libraries. 8. Excellent analytical, problem-solving, and attention-to-detail skills. 9. Ability to communicate and present complex data in a clear and understandable manner.",python-jobs,https://internshala.com/job/detail/fresher-associate-data-scientist-job-in-multiple-locations-at-softsensorai1772353209
Backend Developer - Fresher,Desnor Destination,Backend development | Bubble.io | Django | Express.js | HTML | Java | Management | MongoDB | MySQL | Node.js | PHP | Python | REST API | Team Management,"We are seeking a talented Backend Developer to join our dynamic team at Desnor Destination. If you are passionate about Backend development and possess expertise in Java, PHP, MySQL, HTML, Python, MongoDB, Django, Node.js, Express.js, REST API, Bubble.io, Management, and Team Management, then this is the opportunity for you! Key Responsibilities: 1. Develop and maintain robust backend systems using Java, PHP, and Python 2. Design and optimize databases using MySQL and MongoDB 3. Collaborate with frontend developers to integrate backend services with HTML and CSS 4. Implement REST APIs for seamless communication between different systems 5. Utilize Django and Node.js to create scalable and efficient web applications 6. Provide technical leadership and guidance to the development team 7. Manage project timelines, resources, and deliverables effectively to ensure project success If you are a Backend Developer with a passion for innovation and a drive for excellence, then apply now to be part of our exciting team at Desnor Destination! Fresher also apply.",,python-jobs,https://internshala.com/job/detail/fresher-part-time-backend-developer-job-in-multiple-locations-at-desnor-destination1771523420
Internet of Things (IoT) Associate,Tynatech Ingenious Private Limited,Arduino | C++ Programming | C Programming | Embedded Systems | Internet of Things (IoT) | Python | Raspberry Pi,"As a IoT Associate at Tynatech Ingenious Private Limited, you will be responsible for designing, developing, and implementing cutting-edge IoT solutions using your expertise in Python, Embedded Systems, Raspberry Pi, C++ Programming, Arduino, and C Programming. Your role will involve working with a dynamic team to create innovative products that leverage IoT technology to drive business growth and enhance customer experiences. Key Responsibilities: 1. Collaborate with cross-functional teams to design and develop IoT solutions that meet the company's strategic goals. 2. Develop and optimize code for IoT devices, sensors, and actuators using Python, C++, and C Programming languages. 3. Configure and deploy Raspberry Pi and Arduino boards for IoT applications, ensuring seamless integration with existing systems. 4. Conduct thorough testing and troubleshooting of IoT systems to ensure reliability, security, and scalability. 5. Stay current on industry trends and best practices in IoT technology, and make recommendations for continuous improvement. 6. Work closely with clients to understand their requirements and provide technical support throughout project lifecycles. 7. Participate in brainstorming sessions and contribute to the ideation of new IoT solutions that drive innovation and differentiation in the market. If you are passionate about IoT technology and have a strong foundation in programming and hardware development, join us at Tynatech Ingenious Private Limited to be a part of our exciting journey towards creating next-generation IoT solutions.",1. Experience in IOT Sensors Installation and Implementation 2. LORAWAN Technology expertise,python-jobs,https://internshala.com/job/detail/internet-of-things-iot-associate-job-in-noida-at-tynatech-ingenious-private-limited1772184777
Data Analytics Specialist,Stage X,Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau,"Are you a Data Analytics Specialist with expertise in Python, SQL, Data Analytics, MS Excel, Data Science, Power BI, and Tableau? If so, Stage X company is looking for you! Join our dynamic team and be part of a company that values innovation and creativity. Key Responsibilities: 1. Utilize Python and SQL to analyze large datasets and extract valuable insights. 2. Develop and maintain reports and dashboards in MS Excel for data visualization. 3. Apply advanced statistical techniques to analyze complex data sets and generate predictive models. 4. Collaborate with cross-functional teams to understand business requirements and provide data-driven solutions. 5. Create interactive visualizations in Tableau and Power BI to communicate findings effectively. 6. Identify trends and patterns in data to drive strategic decision-making within the organization. 7. Stay updated on the latest trends and technologies in the field of data analytics to continuously improve processes and outcomes. If you are passionate about data analytics and possess the skills mentioned above, we encourage you to apply and be part of our innovative team at Stage X company.",,python-jobs,https://internshala.com/job/detail/data-analytics-specialist-job-in-bhopal-at-stage-x1771934225
Artificial Intelligence (AI) Manager,RS Infomedia And Films Private Limited,Artificial intelligence | Client Interaction | Client Relationship Management (CRM) | Collaboration | Coordination | Customer Acquisition | Data Science | Data Structures | Deep Learning | Leadership | Machine Learning | Natural Language Processing (NLP) | Neural Networks | Python | Team Management | Teamwork,"Key responsibilities: We are looking for a strategic AI Manager who will lead and manage a team of AI Specialists focused on: AI-powered content generation Business intelligence & analytics AI workflow automation & development Reporting, monitoring & performance optimization This role requires someone who can combine technology + content thinking + business logic + leadership discipline. You will be responsible for: Building structured AI workflows Managing team productivity Ensuring measurable business impact Delivering structured reporting to leadership Lead a team of AI Specialists, content engineers, and automation developers. Assign projects, define timelines, and monitor delivery. Conduct weekly performance reviews and sprint planning. Develop AI skill enhancement roadmap for team members. Ensure compliance with AI ethics and data governance standards. AI-Driven Content Operations Oversee AI-based generation of: Video scripts Blogs & SEO content Sales decks & presentations Ad creatives & campaign copies Standardize prompt libraries and AI frameworks. Build scalable content engines (50-100 outputs/month). Ensure brand consistency across AI-generated assets.","Business Intelligence & Strategic Insights Deploy AI tools for: Market research Competitive mapping Customer persona analytics Revenue forecasting Design AI-driven dashboards for: Content performance Sales pipeline analytics Operational productivity Present monthly intelligence reports to leadership. AI Automation & Development Oversight Supervise development of: n8n / Zapier / Make workflows CRM AI automations AI agents for lead generation AI-powered reporting systems Oversee API integrations (OpenAI, LLMs, internal systems). Optimize workflows to reduce manual cost & time. KPIs AI output scalability increase (% growth month-on-month) Content turnaround time reduction Automation efficiency index Team productivity score BI insight adoption rate Revenue or cost impact metrics Technical: Strong hands-on experience with: ChatGPT / Claude / Gemini AI video & image tools AI automation platforms (n8n / Zapier) Understanding of: LLM systems Prompt engineering frameworks AI API integration Dashboarding tools (Power BI / Google Sheets / Notion) Basic knowledge of Python preferred. Managerial: Proven experience managing technical or AI teams. Strong reporting & documentation skills. Ability to convert AI experimentation into structured SOPs. Strategic thinking + execution discipline. Bachelor’s / Master’s in: Engineering / AI / Computer Science / Data Science / Business Analytics OR equivalent proven AI leadership portfolio.",python-jobs,https://internshala.com/job/detail/artificial-intelligence-ai-manager-job-in-delhi-at-rs-infomedia-and-films-private-limited1771939056
Computer Vision Associate,Unmannd Autonomy,Computer Vision | Deep Learning | Linux | Machine Learning | OpenCV | Python,"As a computer vision associate at Unmanned Autonomy, you will play a crucial role in developing cutting-edge technology for autonomous systems. Your expertise in OpenCV, Python, machine learning, computer vision, Linux, and deep learning will be instrumental in helping us achieve our vision of revolutionizing the way UAVs interact with the world. Key Responsibilities: 1. Develop and implement computer vision algorithms for object detection, tracking, and recognition. 2. Collaborate with cross-functional teams to integrate computer vision solutions into autonomous systems. 3. Optimize algorithms for real-time performance on embedded platforms. 4. Conduct research and experimentation to improve the accuracy and reliability of computer vision models. 5. Stay up-to-date on the latest advancements in computer vision and deep learning technologies. 6. Assist in the design and development of software architecture for autonomous systems. 7. Provide technical support and guidance to junior team members. If you are passionate about pushing the boundaries of what is possible with drones for defence purposes and working on cutting-edge projects, we want to hear from you! Join us in shaping the future of autonomous technology.",1. Candidates with hands-on experience using cameras in robotics. 2. Thorough knowledge of OpenCV and other vision algorithms. 3. Candidates willing to relocate close to the aerospace tech park near Bangalore international airport.,python-jobs,https://internshala.com/job/detail/computer-vision-associate-job-in-bangalore-at-unmannd-autonomy1772265986
Full Stack Developer,Stage X,AngularJS | Bubble.io | CSS | HTML | JavaScript | MongoDB | MySQL | Node.js | PHP | Python | React,"Are you a skilled Full Stack Developer with expertise in PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB, AngularJS, Node.js, React, and Bubble.io? If so, Stage X company is looking for you to join our dynamic team! Key Responsibilities: 1. Develop and maintain web applications using a variety of programming languages and frameworks. 2. Collaborate with designers and product managers to create user-friendly interfaces. 3. Implement security measures to protect our systems and data. 4. Optimize applications for maximum speed and scalability. 5. Troubleshoot and debug issues as they arise. 6. Stay up-to-date on industry trends and technologies to ensure our applications remain cutting-edge. 7. Work closely with other team members to achieve project goals and deadlines. If you are passionate about creating innovative solutions and have a proven track record of success in Full Stack Development, we want to hear from you. Join Stage X company and take your career to the next level!",,python-jobs,https://internshala.com/job/detail/full-stack-developer-job-in-bhopal-at-stage-x1771934595
Developer (Golang/Angular),Jungleworks,Angular 7.0 | AngularJS | Golang | Python | Python Libraries,"As a developer (Golang/Angular) at Jungleworks, you will be working on cutting-edge technology to deliver innovative solutions for our clients. If you are a skilled developer with expertise in Golang, Python, Python Libraries, AngularJS, and Angular 7.0, then this is the perfect opportunity for you. Join our dynamic team and be a part of a fast-paced and exciting work environment. Key Responsibilities: 1. Develop and maintain scalable backend applications using Golang. 2. Utilize Python and Python Libraries to enhance functionality and performance. 3. Design and implement user-friendly front-end interfaces using AngularJS and Angular 7.0. 4. Collaborate with cross-functional teams to ensure seamless integration of different modules. 5. Write clean and efficient code while adhering to best practices and coding standards. 6. Troubleshoot and debug issues to optimize overall system performance. 7. Stay updated on the latest technologies and industry trends to continuously improve our products. If you are passionate about software development and have a strong background in Golang and Angular, then we want to hear from you. Take your career to the next level with Jungleworks and be a part of our innovative projects.",1. Projects in Golang. 2. Worked on a team on a scaled product will be an edge. 3. Ok to work under pressure as part of a small team. High on learning.,python-jobs,https://internshala.com/job/detail/developer-golang-angular-job-in-multiple-locations-at-jungleworks1770634654
Teacher,Bharat Robo,Arduino | Artificial intelligence | English Proficiency (Spoken) | Python | Robotics | Teaching,Key responsibilities: 1. Curriculum Development & Lesson Planing. 2. Hands-On Project and Lab Supervision. 3. Student Assessment & Feedback.,"1. Computer Science (B.Tech/B.E./B.Sc CS/IT) 2. Electronics/Electrical Engineering 3. Information Technology 4. Related STEM fields (Physics, Python, Instrumentation, Arduino, Nvidia, etc.)",python-jobs,https://internshala.com/job/detail/teacher-job-in-kolkata-at-nishant-barui1772705063
